Country,Continent,Adult literacy rate (%),Gross national income per capita (PPP international $),Population (in thousands) total,Population median age (years),Community and traditional health workers density (per 10 000 population),General government expenditure on health as percentage of total expenditure on health,General government expenditure on health as percentage of total government expenditure,F2012,M2012,TeamSize,Gold,Silver,Bronze
Panama,5,91.9,8690,3288,9,11.5,2231,948,2,6,8,0,0,0
Papua New Guinea,6,57.3,1630,6202,4,7.3,90,0,4,4,8,0,0,0
Paraguay,5,93.2,4040,6016,7,13.2,3182,133,4,4,8,0,0,0
Peru,5,87.9,6490,27589,8,13.1,2809,0,7,9,16,0,0,0
Philippines,6,92.6,3430,86264,6,6.4,43220,0,4,7,11,0,0,0
Poland,2,69.9,14250,38140,17,9.9,11881,0,87,130,217,2,2,6
Portugal,2,93.9,19960,10579,22,15.5,6149,0,34,46,80,0,1,0
Puerto Rico,5,69.9,5955,6810,8,10.9,850,0,6,19,25,0,1,1
Qatar,1,89,5955,821,3,9.7,690,0,4,8,12,0,0,2
Romania,2,97.3,10150,21532,19,12.4,4360,1396,49,54,103,2,5,2
Russia,2,99.4,12740,143221,17,10.8,45628,72515,227,208,435,24,26,32
Rwanda,3,64.9,730,9464,4,27.3,21,101,2,5,7,0,0,0
Saint Kitts and Nevis,5,69.9,12440,50,11,9.5,17,17,1,6,7,0,0,0
Saint Lucia,5,69.9,8500,163,10,10.2,9,0,3,1,4,0,0,0
Saint Vincent and the Grenadines,5,69.9,6220,120,9,9.3,5,0,1,2,3,0,0,0
Samoa,6,98.6,5090,185,7,10.5,10,0,3,5,8,0,0,0
San Marino,2,69.9,5955,31,26,13.3,8,0,3,1,4,0,0,0
Sao Tome and Principe,3,84.9,1490,155,6,12.2,11,19,1,1,2,0,0,0
Saudi Arabia,1,82.9,22300,24175,4,8.7,4235,0,2,17,19,0,0,1
Senegal,3,39.3,1560,12072,6,6.7,97,705,7,28,35,0,0,0
Serbia,2,69.9,9320,9851,19,14.3,2479,0,36,80,116,1,1,2
Seychelles,3,91.8,14360,86,10,8.8,94,77,2,4,6,0,0,0
